x_obs,y_obs,y_mod
-1.18,6.219,5.2052281847
-1.18,5.383,5.2052281847
36.75,1.042,2.7101639344
74.49,-0.793,0.6455289328
291.5,-4.434,-6.6887021755
433.9,-8.34,-9.3630016071
565.1,-7.504,-11.1098691629
691.2,-9.57,-12.3836578503
807,-8.811,-13.3140101523
905,-8.513,-13.96984375
990.8,-11.881,-14.4667623371
1059,-9.47,-14.8193305439
1104,-9.878,-15.034158215
1132,-10.057,-15.1613536828
1138,-14.071,-15.1879973562
1131,-12.603,-15.1568924303
1080,-13.766,-14.9212371134
1056,-12.678,-14.8045283019
1001,-11.262,-14.5217151163
900.8,-10.387,-13.9438031039
764.6,-13.311,-12.9953036153
660.7,-7.528,-12.1040030897
496.3,-6.714,-10.2594330311
367,-5.447,-8.2344474394
228.4,-2.479,-5.1000861783
56.63,2.57,1.5775909923
23.35,3.087,3.5373465545
382.8,-7.241,-8.5189548694
502.3,-8.984,-10.3389080132
812.1,-11.898,-13.3508112206
235.5,-6.34,-5.2952334152
491.5,-9.482,-10.1950605886
269.7,-4.059,-6.17502094
321.9,-6.837,-7.3513732243
356.3,-4.577,-8.0347928347
229.6,-1.524,-5.1333906715
-0.378,6.816,5.1472434614
-0.326,5.132,5.1434924227
-0.304,4.482,5.1419057583
-0.22,6.228,5.1358492983
5.886,5.312,4.7027570454
35.33,5.281,2.795261375
114.6,0.996,-1.1998529412
89.08,-4.271,-0.062640924
90.48,-4.054,-0.1282598608
151.6,-4.896,-2.6528826434
331,-11.897,-7.5386402266
328.4,-10.291,-7.4856297981
241.7,-7.009,-5.4619685422
314,-11.035,-7.1847895501
219.5,-6.211,-4.848881413
184.7,-4.292,-3.7899517599
135.7,-2.862,-2.054270609
216.1,-6.258,-4.7509186263
181,-5.966,-3.6695683453
119,-1.946,-1.384048583
110.4,-0.896,-1.0209147095
96.55,-0.19,-0.408257873
59.54,2.317,1.4205016799
118.6,0.116,-1.367439222
72.32,0.532,0.7548028257
57.63,1.709,1.5233700853
26.76,1.91,3.3216129032
10.03,4.297,4.4166522089
0.26,2.687,5.1012929702
-1.104,4.24,5.1997227036
-1.147,5.865,5.2028373719
-1.15,6.592,5.2030547011
-1.157,4.011,5.2035618161
-1.168,1.603,5.2043587494
-1.164,3.962,5.20406895
-1.163,4.863,5.2039965011
-1.17,4.859,5.2045036514
-1.168,6.274,5.2043587494
-1.169,3.328,5.2044312002
-1.168,3.855,5.2043587494
-1.168,3.319,5.2043587494
-1.172,4.516,5.204648555
-1.169,5.265,5.2044312002
-1.171,5.307,5.204576103
-1.168,3.833,5.2043587494
-1.168,4.508,5.2043587494
41.63,2.805,2.4221385882
62.99,1.142,1.2369661408
77.64,0.191,0.4887698834
105,1.286,-0.78625
125.3,-2.44,-1.6421427144
133.5,-1.331,-1.9684955752
178.8,-3.446,-3.5972264355
231.4,-6.048,-5.1831002639
371.3,-10.455,-8.3130698111
494.1,-18.095,-10.2300172592
378.2,-14.129,-8.4373552841
315.2,-10.811,-7.2103390322
346.5,-15.623,-7.8467359667
331.1,-9.443,-7.540671293
582.5,-11.559,-11.3055874674
385.8,-9.662,-8.5716403785
191.1,-6.64,-3.9944674086
124.7,-0.834,-1.6178427056
98.15,-2.464,-0.4808665328
62.07,1.946,1.2856256435
59.81,1.347,1.4060329799
27.93,2.053,3.2484342193
-1.18,6.631,5.2052281847
-1.18,3.275,5.2052281847
-1.18,5.655,5.2052281847
-1.18,5.151,5.2052281847
-1.18,4.031,5.2052281847
141.6,-0.591,-2.2806968641
167.8,-7.815,-3.2267207074
215.8,-6.69,-4.7422207177
279.7,-9.316,-6.4149014816
523.3,-16.937,-10.6087097851
1006,-19.115,-14.5483562636
1005,-18.554,-14.5430434783
992.2,-12.331,-14.4743534231
773.8,-8.82,-13.0664554318
869.1,-10.658,-13.7415866892
934.2,-9.884,-14.1462694775
888.2,-8.727,-13.8646421786
717.6,-12.141,-12.6131136738
445.8,-7.541,-9.5444736842
325.2,-5.333,-7.4198457584
238.9,-3.429,-5.3870858446
309,-6.928,-7.0773684211
208.4,-4.353,-4.5248405896
71.23,0.298,0.8100925532
12.78,4.198,4.2301655578
-0.683,5.025,5.1692657293
-1.186,6.217,5.2056629233
-1.182,6.004,5.205373096
-1.181,5.573,5.2053006401
217,-13.76,-4.7769594595
71.84,0.914,0.7791173574
34.96,2.368,2.8175314665
384.5,-14.391,-8.5488610928
395.1,-18.134,-8.7323568368
479.4,-17.285,-10.0295786517
449.3,-17.649,-9.5968506612
572.3,-18.496,-11.1917280692
448.5,-16.899,-9.5849180328
529.5,-16.64,-10.6859701493
398.9,-9.401,-8.79691433
543.2,-11.43,-10.8529906338
392.6,-14.827,-8.6895362168
438.8,-8.03,-9.4383681494
308,-5.777,-7.0556954612
226.5,-4.724,-5.0470822943
